  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.158, -0.263, 0.78]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.265, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.021, -0.268, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.019, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.265, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.268, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.158, -0.261, 0.78]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.268, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.02, -0.262, 0.81]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.021, -0.265, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.265, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.158, -0.261, 0.78]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.265, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.02, -0.266, 0.81]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.265, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.021, -0.269, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.266, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.265, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.265, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.268, 0.83]  right_ear:[0.158, -0.261, 0.78]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.019, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.019, -0.277, 0.85]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.019, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.09, -0.268, 0.76]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.265, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.269, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.269, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.265, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.019, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.02, -0.266, 0.81]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.265, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.268, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.268, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.02, -0.264, 0.81]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.269, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.268, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.019, -0.273, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.023, -0.264, 0.81]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.269, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.019, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.269, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.268, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.273, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.023, -0.267, 0.82]  right_ear:[0.16, -0.261, 0.78]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.16, -0.261, 0.78]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.089, -0.264, 0.75]
